Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
John Henson,2013,2019,C-F,6-11,219,"December 28, 1990",University of North Carolina
John Holland,2018,2019,G-F,6-5,205,"November 6, 1988",Boston University
John Jenkins,2013,2019,G,6-4,215,"March 6, 1991",Vanderbilt University
John Lucas III,2006,2017,G,5-11,166,"November 21, 1982","Baylor University, Oklahoma State University"
John McCullough,1982,1982,G,6-4,190,"October 5, 1956",University of Oklahoma
John Morton,1990,1992,G,6-3,180,"May 18, 1967",Seton Hall University
John Paxson,1984,1994,G,6-2,185,"September 29, 1960",University of Notre Dame
John Pinone,1984,1984,F,6-8,230,"February 19, 1961",Villanova University
John Salley,1987,2000,F-C,6-11,230,"May 16, 1964",Georgia Institute of Technology
John Salmons,2003,2015,G,6-7,210,"December 12, 1979",University of Miami
John Schweitz,1985,1987,G,6-6,210,"April 19, 1960",University of Richmond
John Shasky,1989,1991,C,6-11,235,"July 31, 1964",University of Minnesota
John Starks,1989,2002,G,6-3,180,"August 10, 1965",Oklahoma State University
John Stockton*,1985,2003,G,6-1,170,"March 26, 1962",Gonzaga University
John Stroeder,1988,1989,F,6-10,260,"July 24, 1958",University of Montana
John Stroud,1981,1981,F,6-7,215,"October 29, 1957",University of Mississippi
John Thomas,1998,2006,F,6-9,265,"September 8, 1975",University of Minnesota
John Turner,1992,1992,F,6-8,245,"November 30, 1967","Georgetown University, Phillips University"
John Wall,2011,2019,G,6-4,210,"September 6, 1990",University of Kentucky
John Wallace,1997,2004,F,6-8,225,"February 9, 1974",Syracuse University
John Williams,1987,1995,F-C,6-8,235,"October 26, 1966",Louisiana State University
Johnathan Motley,2018,2019,F,6-10,230,"May 4, 1995",Baylor University
Johnathan Williams,2019,2019,F,6-9,228,"May 22, 1995","University of Missouri, Gonzaga University"
Johnny Dawkins,1987,1995,G,6-2,165,"September 28, 1963",Duke University
Johnny Moore,1981,1990,G,6-1,175,"March 3, 1958",University of Texas at Austin
Johnny Newman,1987,2002,F-G,6-7,190,"November 28, 1963",University of Richmond
Johnny O'Bryant,2015,2018,F-C,6-9,257,"June 1, 1993",Louisiana State University
Johnny Rogers,1987,1988,F-C,6-10,225,"December 30, 1963","Stanford University, University of California, Irvine"
Johnny Taylor,1998,2000,F,6-9,220,"June 4, 1974","Indian Hills Community College, University of Tennessee at Chattanooga"
Jon Barry,1993,2006,G,6-4,195,"July 25, 1969","University of the Pacific, Georgia Institute of Technology"
Jon Brockman,2010,2012,F,6-7,255,"March 20, 1987",University of Washington
Jon Koncak,1986,1996,C-F,7-0,250,"May 17, 1963",Southern Methodist University
Jon Leuer,2012,2019,F,6-10,228,"May 14, 1989",University of Wisconsin
Jon Sundvold,1984,1992,G,6-2,170,"July 2, 1961",University of Missouri
Jonah Bolden,2019,2019,F,6-10,220,"January 2, 1996","University of California, Los Angeles"
Jonas Jerebko,2010,2019,F,6-10,231,"March 2, 1987",
Jonas Valanciunas,2013,2019,C,7-0,265,"May 6, 1992",
Jonathan Bender,2000,2010,F,6-11,202,"January 30, 1981",
Jonathan Gibson,2017,2018,G,6-2,185,"November 8, 1987",New Mexico State University
Jonathan Isaac,2018,2019,F,6-10,210,"October 3, 1997",Florida State University
Jonathan Kerner,1999,1999,C,6-11,245,"June 6, 1974","Florida State University, East Carolina University"
Jonathon Simmons,2016,2019,G-F,6-6,195,"September 14, 1989",University of Houston
Jonny Flynn,2010,2012,G,6-0,185,"February 6, 1989",Syracuse University
Jordan Adams,2015,2016,G,6-5,209,"July 8, 1994","University of California, Los Angeles"
Jordan Bell,2018,2019,F,6-9,224,"January 7, 1995",University of Oregon
Jordan Clarkson,2015,2019,G,6-5,194,"June 7, 1992","University of Tulsa, University of Missouri"
Jordan Crawford,2011,2018,G,6-4,195,"October 23, 1988","Indiana University, Xavier University"
Jordan Farmar,2007,2017,G,6-2,180,"November 30, 1986","University of California, Los Angeles"
Jordan Hamilton,2012,2016,G-F,6-7,220,"October 6, 1990",University of Texas at Austin
Jordan Hill,2010,2017,C-F,6-10,235,"July 27, 1987",University of Arizona
Jordan Loyd,2019,2019,G,6-4,210,"July 27, 1993","Furman University, University of Indianapolis"
Jordan McRae,2016,2019,G,6-5,179,"March 28, 1991",University of Tennessee
Jordan Mickey,2016,2018,F,6-8,235,"July 9, 1994",Louisiana State University
Jordan Sibert,2019,2019,G,6-4,187,"August 1, 1992","Ohio State University, University of Dayton"
Jordan Williams,2012,2012,F,6-10,260,"October 11, 1990",University of Maryland
Jorge Garbajosa,2007,2008,F,6-9,245,"December 19, 1977",
Jorge Gutierrez,2014,2016,G,6-3,191,"December 27, 1988",University of California
Jose Calderon,2006,2019,G,6-3,200,"September 28, 1981",
Jose Ortiz,1989,1990,F,6-10,225,"October 25, 1963",Oregon State University
Jose Slaughter,1983,1983,G,6-5,205,"September 9, 1960",University of Portland
Joseph Forte,2002,2003,G,6-4,194,"March 23, 1981",University of North Carolina
Josh Akognon,2013,2013,G,5-11,185,"February 10, 1986","Washington State University, California State University, Fullerton"
Josh Boone,2007,2010,F-C,6-10,237,"November 21, 1984",University of Connecticut
Josh Childress,2005,2014,G-F,6-8,210,"June 20, 1983",Stanford University
Josh Davis,2004,2012,F,6-8,235,"August 10, 1980",University of Wyoming
Josh Grant,1994,1994,F,6-9,223,"August 7, 1967",University of Utah
Josh Gray,2018,2018,G,6-1,180,"September 9, 1993",Louisiana State University
Josh Harrellson,2012,2014,C,6-10,275,"February 12, 1989",University of Kentucky
Josh Hart,2018,2019,G,6-5,215,"March 6, 1995",Villanova University
Josh Howard,2004,2013,F-G,6-7,210,"April 28, 1980",Wake Forest University
Josh Huestis,2016,2018,F,6-7,230,"December 19, 1991",Stanford University
Josh Jackson,2018,2019,F-G,6-8,200,"February 10, 1997",University of Kansas
Josh Magette,2018,2018,G,6-1,160,"November 28, 1989",Alabama - Huntsville
Josh McRoberts,2008,2018,F,6-10,240,"February 28, 1987",Duke University
Josh Okogie,2019,2019,G,6-4,212,"September 1, 1998",Georgia Institute of Technology
Josh Powell,2006,2014,F,6-9,225,"January 25, 1983",North Carolina State University
Josh Richardson,2016,2019,G,6-6,200,"September 15, 1993",University of Tennessee
Josh Selby,2012,2013,G,6-2,183,"March 27, 1991",University of Kansas
Josh Smith,2005,2018,F,6-9,225,"December 5, 1985",
Jrue Holiday,2010,2019,G,6-4,205,"June 12, 1990","University of California, Los Angeles"
Juan Carlos Navarro,2008,2008,G,6-3,170,"June 13, 1980",
Juan Dixon,2003,2009,G,6-3,164,"October 9, 1978",University of Maryland
Juan Hernangomez,2017,2019,F,6-9,230,"September 28, 1995",
Juaquin Hawkins,2003,2003,G-F,6-7,220,"July 2, 1973","California State University, Long Beach"
Jud Buechler,1991,2002,F-G,6-6,220,"June 19, 1968",University of Arizona
Julian Washburn,2019,2019,F,6-8,210,"December 18, 1991",
Julian Wright,2008,2011,F,6-8,225,"May 20, 1987",University of Kansas
Julius Hodge,2006,2007,G,6-7,210,"November 18, 1983",North Carolina State University
Julius Nwosu,1995,1995,C,6-10,255,"May 1, 1971",Liberty University
Julius Randle,2015,2019,F-C,6-9,250,"November 29, 1994",University of Kentucky
Julyan Stone,2012,2018,G,6-6,200,"December 7, 1988",University of Texas at El Paso
Jumaine Jones,2000,2007,F,6-8,218,"February 10, 1979",University of Georgia
Junior Burrough,1996,1996,F,6-8,242,"January 18, 1973",University of Virginia
Junior Harrington,2003,2007,G,6-4,180,"October 2, 1980",Wingate University
Justin Anderson,2016,2019,G,6-6,230,"November 19, 1993",University of Virginia
Justin Dentmon,2012,2013,G,5-11,185,"September 5, 1985",University of Washington
Justin Hamilton,2014,2017,C,7-0,260,"April 1, 1990","Iowa State University, Louisiana State University"
Justin Harper,2012,2017,F,6-10,225,"August 30, 1989",University of Richmond
Justin Holiday,2013,2019,F,6-6,181,"April 5, 1989",University of Washington
Justin Jackson,2018,2019,G-F,6-8,210,"March 28, 1995",University of North Carolina
Justin Patton,2018,2019,C,7-0,241,"June 14, 1997",Creighton University
Justin Reed,2005,2007,F,6-8,240,"January 16, 1982",University of Mississippi
Justin Williams,2007,2008,F,6-10,225,"May 12, 1984",University of Wyoming
Justise Winslow,2016,2019,F,6-7,225,"March 26, 1996",Duke University
Jusuf Nurkic,2015,2019,C,7-0,275,"August 23, 1994",
Juwan Howard,1995,2013,F,6-9,240,"February 7, 1973",University of Michigan
K.J. McDaniels,2015,2017,G-F,6-6,205,"February 9, 1993",Clemson University
Kadeem Allen,2018,2019,G,6-3,192,"January 15, 1993",University of Arizona
Kalin Lucas,2015,2019,G,6-1,195,"May 24, 1989",Michigan State University
Kaniel Dickens,2004,2008,F,6-8,215,"July 21, 1978","Tyler Junior College, University of Idaho"
Kannard Johnson,1988,1988,F,6-9,220,"June 24, 1965",Western Kentucky University
Kareem Rush,2003,2010,G,6-6,215,"October 30, 1980",University of Missouri
Karl Malone*,1986,2004,F,6-9,250,"July 24, 1963",Louisiana Tech University
Karl-Anthony Towns,2016,2019,C-F,7-0,248,"November 15, 1995",University of Kentucky
Kasib Powell,2008,2008,F,6-7,215,"March 18, 1981",Texas Tech University
Kawhi Leonard,2012,2019,F,6-7,230,"June 29, 1991",San Diego State University
Kay Felder,2017,2018,G,5-9,176,"March 29, 1995",Oakland University
Kebu Stewart,1998,1998,F,6-8,239,"December 19, 1973","University of Nevada, Las Vegas, California State University, Bakersfield"
Kedrick Brown,2002,2005,G,6-7,222,"March 18, 1981",Okaloosa-Walton Community College
Keita Bates-Diop,2019,2019,F,6-9,229,"January 23, 1996",Ohio State University
Keith Appling,2016,2016,G,6-1,185,"February 13, 1992",Michigan State University
Keith Askins,1991,1999,G-F,6-7,197,"December 15, 1967",University of Alabama
Keith Benson,2012,2012,C,6-11,240,"August 13, 1988",Oakland University
Keith Bogans,2004,2014,G-F,6-5,215,"May 12, 1980",University of Kentucky
Keith Booth,1998,1999,F,6-6,226,"October 9, 1974",University of Maryland
Keith Closs,1998,2000,C,7-3,212,"April 3, 1976",Central Connecticut State University
Keith Edmonson,1983,1984,G,6-5,195,"September 28, 1960",Purdue University
Keith Jennings,1993,1995,G,5-7,160,"November 2, 1968",East Tennessee State University
Keith Langford,2008,2008,G,6-4,215,"September 15, 1983",University of Kansas
Keith Lee,1986,1989,F-C,6-10,215,"December 28, 1962",University of Memphis
Keith McCord,1981,1981,G,6-7,210,"June 22, 1957","University of Alabama, University of Alabama at Birmingham"
Keith McLeod,2004,2007,G,6-2,188,"November 5, 1979",Bowling Green State University
Keith Owens,1992,1992,F,6-7,225,"May 31, 1969","University of California, Los Angeles"
Keith Smart,1989,1989,G,6-1,175,"September 21, 1964",Indiana University
Keith Smith,1987,1987,G,6-3,180,"March 9, 1964",Loyola Marymount University
Keith Tower,1994,1997,C-F,6-11,250,"May 15, 1970",University of Notre Dame
Keith Van Horn,1998,2006,F,6-10,220,"October 23, 1975",University of Utah
Kelenna Azubuike,2007,2012,G,6-5,220,"December 16, 1983",University of Kentucky
Kelly McCarty,1999,1999,G-F,6-7,200,"August 24, 1975",University of Southern Mississippi
Kelly Olynyk,2014,2019,C-F,7-0,240,"April 19, 1991",Gonzaga University
Kelly Oubre,2016,2019,F,6-7,205,"December 9, 1995",University of Kansas
Kelly Tripucka,1982,1991,F-G,6-6,220,"February 16, 1959",University of Notre Dame
Kelvin Cato,1998,2007,C,6-11,255,"August 26, 1974","University of South Alabama, Iowa State University"
Kelvin Ransey,1981,1986,G,6-1,170,"May 3, 1958",Ohio State University
Kelvin Upshaw,1989,1991,G,6-2,180,"January 24, 1963",University of Utah
Kemba Walker,2012,2019,G,6-1,184,"May 8, 1990",University of Connecticut
Ken Austin,1984,1984,F,6-9,205,"July 15, 1961",Rice University
Ken Bannister,1985,1991,F-C,6-9,235,"April 1, 1960","Indiana State University, Saint Augustine's College"
Ken Green,1986,1986,F,6-8,215,"September 19, 1959",University of Texas-Pan American
Ken Johnson,2003,2003,F-C,6-11,240,"February 1, 1978",Ohio State University
Ken Johnson,1986,1986,F,6-8,240,"November 7, 1962","University of Southern California, Michigan State University"
Ken Norman,1988,1997,F,6-8,215,"September 5, 1964",University of Illinois at Urbana-Champaign
Kendall Gill,1991,2005,G,6-5,195,"May 25, 1968",University of Illinois at Urbana-Champaign
Kendall Marshall,2013,2016,G,6-4,200,"August 19, 1991",University of North Carolina
Kendrick Perkins,2004,2018,C,6-10,270,"November 10, 1984",
Kennard Winchester,1991,1993,G-F,6-5,210,"September 3, 1966","James Madison University, Averett University"
Kenneth Faried,2012,2019,F,6-8,220,"November 19, 1989",Morehead State University
Kenny Anderson,1992,2005,G,6-0,168,"October 9, 1970",Georgia Institute of Technology
Kenny Battle,1990,1993,F,6-6,210,"October 10, 1964","Northern Illinois University, University of Illinois at Urbana-Champaign"
Kenny Dennard,1982,1984,F,6-8,220,"October 18, 1958",Duke University
Kenny Fields,1985,1988,F-G,6-5,220,"February 9, 1962","University of California, Los Angeles"
Kenny Gattison,1987,1996,F-C,6-8,225,"May 23, 1964",Old Dominion University
Kenny Green,1986,1987,F,6-6,210,"October 11, 1964",Wake Forest University
Kenny Natt,1981,1985,G,6-3,185,"October 5, 1958",University of Louisiana at Monroe
Kenny Payne,1990,1993,F-G,6-8,195,"November 25, 1966",University of Louisville
Kenny Satterfield,2002,2003,G,6-2,186,"April 10, 1981",University of Cincinnati
Kenny Smith,1988,1997,G,6-3,170,"March 8, 1965",University of North Carolina
Kenny Thomas,2000,2010,F,6-7,261,"July 25, 1977",University of New Mexico
Kenny Walker,1987,1995,F,6-8,210,"August 18, 1964",University of Kentucky
Kenny Williams,1991,1994,F,6-9,205,"June 9, 1969",Barton County Community College
Kenrich Williams,2019,2019,G-F,6-7,210,"December 2, 1994",Texas Christian University
Kent Bazemore,2013,2019,G-F,6-5,201,"July 1, 1989",Old Dominion University
Kentavious Caldwell-Pope,2014,2019,G,6-5,205,"February 18, 1993",University of Georgia
Kenton Edelin,1985,1985,F,6-8,205,"May 24, 1962",University of Virginia
Kenyon Martin,2001,2015,F,6-9,234,"December 30, 1977",University of Cincinnati
Keon Clark,1999,2004,F-C,6-11,220,"April 16, 1975","University of Nevada, Las Vegas"
Kerry Kittles,1997,2005,G,6-5,179,"June 12, 1974",Villanova University
Kevin Brooks,1992,1994,F,6-6,200,"October 12, 1969",University of Louisiana at Lafayette
Kevin Burleson,2006,2006,G,6-3,205,"April 9, 1979",University of Minnesota
Kevin Duckworth,1987,1997,C,7-0,275,"April 1, 1964",Eastern Illinois University
Kevin Durant,2008,2019,F-G,6-9,240,"September 29, 1988",University of Texas at Austin
Kevin Edwards,1989,2001,G,6-3,190,"October 30, 1965",DePaul University
Kevin Gamble,1988,1997,F-G,6-5,210,"November 13, 1965",University of Iowa
Kevin Garnett,1996,2016,F-C,6-11,240,"May 19, 1976",
Kevin Henderson,1987,1988,G,6-4,195,"March 22, 1964","California State University, Fullerton"
Kevin Huerter,2019,2019,G,6-7,190,"August 27, 1998",University of Maryland
Kevin Johnson,1988,2000,G,6-1,180,"March 4, 1966",University of California
Kevin Jones,2013,2013,F,6-8,251,"August 25, 1989",West Virginia University
Kevin Knox,2019,2019,F,6-9,215,"August 11, 1999",University of Kentucky
Kevin Loder,1982,1984,F-G,6-6,205,"March 15, 1959","Kentucky State University, Alabama State University"
Kevin Love,2009,2019,F,6-10,251,"September 7, 1988","University of California, Los Angeles"
Kevin Lynch,1992,1993,G-F,6-5,195,"December 24, 1968",University of Minnesota
Kevin Martin,2005,2016,G,6-7,199,"February 1, 1983",Western Carolina University
Kevin McHale*,1981,1993,F-C,6-10,210,"December 19, 1957",University of Minnesota
Kevin McKenna,1982,1988,G-F,6-5,195,"January 8, 1959",Creighton University
Kevin Murphy,2013,2013,G,6-5,185,"March 6, 1990",Tennessee Technological University
Kevin Ollie,1998,2010,G,6-4,195,"December 27, 1972",University of Connecticut
Kevin Pritchard,1991,1996,G,6-3,180,"July 17, 1967",University of Kansas
Kevin Salvadori,1997,1998,C,7-0,231,"December 30, 1970",University of North Carolina
Kevin Seraphin,2011,2017,F,6-9,285,"December 7, 1989",
Kevin Thompson,1994,1994,C-F,6-11,260,"February 7, 1971",North Carolina State University
Kevin Williams,1984,1989,G,6-2,175,"September 11, 1961","Texas Christian University, St. John's University"
Kevin Willis,1985,2007,F-C,7-0,220,"September 6, 1962",Michigan State University
Kevinn Pinkney,2007,2007,F,6-10,245,"October 20, 1983","University of Nevada, Reno"
Kevon Looney,2016,2019,F-C,6-9,220,"February 6, 1996","University of California, Los Angeles"
Keyon Dooling,2001,2013,G,6-3,196,"May 8, 1980",University of Missouri
Khalid El-Amin,2001,2001,G,5-10,200,"April 25, 1979",University of Connecticut
Khalid Reeves,1995,2000,G,6-3,199,"July 15, 1972",University of Arizona
Khem Birch,2018,2019,C-F,6-9,233,"September 28, 1992","University of Pittsburgh, University of Nevada, Las Vegas"
Khris Middleton,2013,2019,F-G,6-8,222,"August 12, 1991",Texas A&M University
Khyri Thomas,2019,2019,G,6-3,210,"May 8, 1996",Creighton University
Kiki Vandeweghe,1981,1993,F,6-8,220,"August 1, 1958","University of California, Los Angeles"
Kim English,2013,2013,G,6-6,200,"September 24, 1988",University of Missouri
Kirk Haston,2002,2003,F,6-9,242,"March 10, 1979",Indiana University
Kirk Hinrich,2004,2016,G,6-4,190,"January 2, 1981",University of Kansas
Kirk Penney,2004,2005,G,6-5,220,"November 23, 1980",University of Wisconsin
Kirk Snyder,2005,2008,G,6-6,225,"June 5, 1983","University of Nevada, Reno"
Kiwane Garris,1998,2000,G,6-2,183,"September 24, 1974",University of Illinois at Urbana-Champaign
Klay Thompson,2012,2019,G-F,6-7,215,"February 8, 1990",Washington State University
Kobe Bryant,1997,2016,G-F,6-6,212,"August 23, 1978",
Kobi Simmons,2018,2019,G,6-5,166,"July 4, 1997",University of Arizona
Korleone Young,1999,1999,F,6-7,213,"December 31, 1978",
Kornel David,1999,2001,F,6-9,235,"October 22, 1971",
Kosta Koufos,2009,2019,C,7-0,245,"February 24, 1989",Ohio State University
Kosta Perovic,2008,2008,C,7-2,240,"February 19, 1985",
Kostas Antetokounmpo,2019,2019,F,6-10,200,"November 20, 1997",University of Dayton
Kostas Papanikolaou,2015,2016,F,6-8,225,"July 31, 1990",
Kris Dunn,2017,2019,G,6-4,205,"March 18, 1994",Providence College
Kris Humphries,2005,2017,F-C,6-9,235,"February 6, 1985",University of Minnesota
Kris Joseph,2013,2013,F,6-7,210,"December 17, 1988",Syracuse University
Kristaps Porzingis,2016,2018,F-C,7-3,240,"August 2, 1995",
Kurk Lee,1991,1991,G,6-3,190,"June 3, 1967","Western Kentucky University, Towson University"
Kurt Nimphius,1982,1990,C-F,6-10,218,"March 13, 1958",Arizona State University
Kurt Rambis,1982,1995,F,6-8,213,"February 25, 1958",Santa Clara University
Kurt Thomas,1996,2013,F,6-9,230,"October 4, 1972",Texas Christian University
Kwame Brown,2002,2013,F,6-11,270,"March 10, 1982",
Kyle Anderson,2015,2019,F-G,6-9,230,"September 20, 1993","University of California, Los Angeles"
Kyle Collinsworth,2018,2018,G-F,6-6,210,"October 3, 1991",Brigham Young University
Kyle Korver,2004,2019,G-F,6-7,212,"March 17, 1981",Creighton University
Kyle Kuzma,2018,2019,F,6-9,220,"July 24, 1995",University of Utah
Kyle Lowry,2007,2019,G,6-1,196,"March 25, 1986",Villanova University
Kyle Macy,1981,1987,G,6-3,175,"April 9, 1957","Purdue University, University of Kentucky"
Kyle O'Quinn,2013,2019,F-C,6-10,250,"March 26, 1990",Norfolk State University
Kyle Singler,2013,2018,F,6-8,228,"May 4, 1988",Duke University
Kyle Weaver,2009,2011,G,6-6,201,"February 18, 1986",Washington State University
Kyle Wiltjer,2017,2017,F,6-10,240,"October 20, 1992",Gonzaga University
Kyrie Irving,2012,2019,G,6-3,193,"March 23, 1992",Duke University
Kyrylo Fesenko,2008,2012,C,7-1,288,"December 24, 1986",
LaBradford Smith,1992,1994,G,6-3,200,"April 3, 1969",University of Louisville
LaMarcus Aldridge,2007,2019,F-C,6-11,260,"July 19, 1985",University of Texas at Austin
LaMark Baker,1999,1999,G,6-1,175,"November 11, 1969",Ohio State University
LaPhonso Ellis,1993,2003,F,6-8,240,"May 5, 1970",University of Notre Dame
LaSalle Thompson,1983,1997,C-F,6-10,245,"June 23, 1961",University of Texas at Austin
Lamar Odom,2000,2013,F,6-10,220,"November 6, 1979",University of Rhode Island
Lamar Patterson,2016,2017,G-F,6-5,225,"August 12, 1991",University of Pittsburgh
Lamond Murray,1995,2006,F,6-7,236,"April 20, 1973",University of California
Lamont Strothers,1992,1993,G,6-4,190,"May 10, 1968",Christopher Newport University
Lanard Copeland,1990,1992,G,6-6,190,"July 16, 1965",Georgia State University
Lancaster Gordon,1985,1988,G,6-3,185,"June 24, 1962",University of Louisville
Lance Allred,2008,2008,C,6-11,250,"February 2, 1981","University of Utah, Weber State University"
Lance Blanks,1991,1993,G,6-4,190,"September 9, 1966","University of Virginia, University of Texas at Austin"
Lance Stephenson,2011,2019,G-F,6-6,230,"September 5, 1990",University of Cincinnati
Lance Thomas,2012,2019,F,6-8,240,"April 24, 1988",Duke University
Landry Fields,2011,2015,F,6-7,210,"June 27, 1988",Stanford University
Landry Shamet,2019,2019,G,6-5,188,"March 13, 1997",Wichita State University
Langston Galloway,2015,2019,G,6-2,200,"December 9, 1991",Saint Joseph's University
Lari Ketner,2000,2001,F-C,6-9,277,"February 1, 1977",University of Massachusetts Amherst
Laron Profit,2000,2006,G-F,6-5,204,"August 5, 1977",University of Maryland
Larry Drew,1981,1991,G,6-1,170,"April 2, 1958",University of Missouri
Larry Drew,2015,2018,G,6-2,180,"March 5, 1990","University of North Carolina, University of California, Los Angeles"
Larry Hughes,1999,2012,G,6-5,184,"January 23, 1979",Saint Louis University
Larry Johnson,1992,2001,F,6-6,250,"March 14, 1969","University of Nevada, Las Vegas"
Larry Krystkowiak,1987,1997,F-C,6-9,220,"September 23, 1964",University of Montana
Larry Micheaux,1984,1985,F,6-9,220,"March 24, 1960",University of Houston
Larry Nance,2016,2019,F-C,6-9,230,"January 1, 1993",University of Wyoming
Larry Nance,1982,1994,F-C,6-10,205,"February 12, 1959",Clemson University
Larry Owens,2011,2012,F,6-7,210,"January 8, 1983",Oral Roberts University
Larry Robinson,1991,2002,F-G,6-3,180,"January 11, 1968",Centenary College of Louisiana
Larry Sanders,2011,2017,C-F,6-11,235,"November 21, 1988",Virginia Commonwealth University
Larry Smith,1981,1993,F-C,6-8,215,"January 18, 1958",Alcorn State University
Larry Spriggs,1982,1986,F,6-7,230,"September 8, 1959",Howard University
Larry Stewart,1992,1997,F,6-8,220,"September 21, 1968",Coppin State University
Larry Sykes,1996,1996,F,6-9,255,"April 11, 1973",Xavier University
Latrell Sprewell,1993,2005,G,6-5,190,"September 8, 1970",University of Alabama
Lauri Markkanen,2018,2019,F-C,7-0,240,"May 22, 1997",University of Arizona
Lavor Postell,2001,2003,G,6-5,215,"February 26, 1978",St. John's University
Lavoy Allen,2012,2017,F-C,6-9,260,"February 4, 1989",Temple University
Lawrence Funderburke,1998,2005,F,6-9,230,"December 15, 1970","Indiana University, Ohio State University"
Lawrence Moten,1996,1998,G,6-5,185,"March 25, 1972",Syracuse University
Lawrence Roberts,2006,2007,F,6-9,240,"October 20, 1982","Baylor University, Mississippi State University"
Lazar Hayward,2011,2013,F,6-6,225,"November 26, 1986",Marquette University
Lazaro Borrell,2000,2000,F,6-8,220,"September 20, 1972",
LeBron James,2004,2019,F-G,6-8,250,"December 30, 1984",
LeRon Ellis,1992,1996,F-C,6-9,225,"April 28, 1969","University of Kentucky, Syracuse University"
Leandro Barbosa,2004,2017,G,6-3,194,"November 28, 1982",
Ledell Eackles,1989,1998,G-F,6-5,220,"November 24, 1966",University of New Orleans
Lee Johnson,1981,1981,F,6-11,205,"June 16, 1957","University of Montana, East Texas State University"
Lee Mayberry,1993,1999,G,6-1,172,"June 12, 1970",University of Arkansas
Lee Nailon,2001,2006,F,6-9,238,"February 22, 1975","Butler County Community College, Texas Christian University"
Leo Rautins,1984,1985,F,6-8,215,"March 20, 1960","University of Minnesota, Syracuse University"
Leon Powe,2007,2011,F,6-8,240,"January 22, 1984",University of California
Leon Smith,2002,2004,C,6-10,235,"November 2, 1980",
Leon Wood,1985,1991,G,6-3,185,"March 25, 1962","University of Arizona, California State University, Fullerton"
Leonard Taylor,1990,1990,F,6-8,220,"May 2, 1966",University of California
Leroy Combs,1984,1984,F,6-8,210,"January 1, 1961",Oklahoma State University
Les Jepsen,1991,1992,C,7-0,237,"June 24, 1967",University of Iowa
Lester Conner,1983,1995,G,6-4,180,"September 17, 1959",Oregon State University
Lester Hudson,2010,2015,G,6-3,190,"August 7, 1984",University of Tennessee at Martin
Lewis Brown,1981,1981,C,6-11,225,"February 19, 1955","University of Nevada, Las Vegas"
Lewis Lloyd,1982,1990,G-F,6-6,205,"February 22, 1959",Drake University
Linas Kleiza,2006,2013,F,6-8,245,"January 3, 1985",University of Missouri
Lindsey Hunter,1994,2010,G,6-2,170,"December 3, 1970","Alcorn State University, Jackson State University"
Linton Johnson,2004,2009,F,6-8,205,"June 13, 1980",Tulane University
Linton Townes,1983,1985,F-G,6-7,190,"November 30, 1959",James Madison University
Lionel Chalmers,2005,2005,G,6-0,180,"November 10, 1980",Xavier University
Lionel Simmons,1991,1997,F,6-7,210,"November 14, 1968",La Salle University
Litterial Green,1993,1999,G,6-1,185,"March 7, 1970",University of Georgia
Lloyd Daniels,1993,1998,G,6-7,205,"September 4, 1967",Mount San Antonio College
Logan Vander Velden,1996,1996,F,6-8,215,"April 3, 1971",University of Wisconsin-Green Bay
London Perrantes,2018,2018,G,6-2,200,"October 3, 1994",University of Virginia
Lonnie Walker,2019,2019,G,6-5,205,"December 14, 1998",University of Miami
Lonny Baxter,2003,2006,F,6-8,260,"January 27, 1979",University of Maryland
Lonzo Ball,2018,2019,G,6-6,190,"October 27, 1997","University of California, Los Angeles"
Loren Meyer,1996,1999,C,6-10,257,"December 30, 1972",Iowa State University
Loren Woods,2002,2008,F-C,7-1,245,"June 21, 1978","Wake Forest University, University of Arizona"
Lorenzen Wright,1997,2009,F-C,6-11,225,"November 4, 1975",University of Memphis
Lorenzo Brown,2014,2019,G,6-5,189,"August 26, 1990",North Carolina State University
Lorenzo Charles,1986,1986,F,6-7,225,"November 25, 1963",North Carolina State University
Lorenzo Romar,1981,1985,G,6-1,175,"November 13, 1958",University of Washington
Lorenzo Williams,1993,2000,F-C,6-9,200,"July 15, 1969",Stetson University
Lou Amundson,2007,2016,F-C,6-9,220,"December 7, 1982","University of Nevada, Las Vegas"
Lou Roe,1996,1997,F,6-7,220,"July 14, 1972",University of Massachusetts Amherst
Lou Williams,2006,2019,G,6-1,175,"October 27, 1986",
Louis Orr,1981,1988,F,6-8,175,"May 7, 1958",Syracuse University
Lowes Moore,1981,1983,G,6-1,170,"May 5, 1957",West Virginia University
Loy Vaught,1991,2001,F,6-9,230,"February 27, 1968",University of Michigan
Luc Longley,1992,2001,C,7-2,265,"January 19, 1969",University of New Mexico
Luc Mbah a Moute,2009,2019,F,6-8,230,"September 9, 1986","University of California, Los Angeles"
Lucas Nogueira,2015,2018,C,7-0,241,"July 26, 1992",
Lucious Harris,1994,2005,G,6-5,190,"December 18, 1970","California State University, Long Beach"
Luigi Datome,2014,2015,F,6-8,215,"November 27, 1987",
Luis Flores,2005,2005,G,6-2,200,"April 11, 1981","Rutgers University, Manhattan College"
Luis Montero,2016,2018,G,6-7,185,"April 6, 1993",Westchester CC
Luis Scola,2008,2017,F,6-9,240,"April 30, 1980",
Luka Doncic,2019,2019,G-F,6-7,218,"February 28, 1999",
Luke Babbitt,2011,2018,F,6-9,225,"June 20, 1989","University of Nevada, Reno"
